Wall time,Step,Value
1682355183.9134352,184320,1.1396812200546265
1682355229.2696483,186880,1.1687662601470947
1682355275.2746713,189440,1.1907272338867188
1682355498.150626,192000,1.2015719413757324
1682355543.5034714,194560,1.2214057445526123
1682355589.1549714,197120,1.2290135622024536
1682355633.5497696,199680,1.2089736461639404
1682355855.1894403,202240,1.1951830387115479
1682355900.590002,204800,1.2437257766723633
1682355946.951883,207360,1.2113428115844727
1682355993.3749094,209920,1.2483967542648315
1682356213.014529,212480,1.270702600479126
1682356259.080344,215040,1.287221908569336
1682356304.7229831,217600,1.3195308446884155
1682356527.329158,220160,1.324962854385376
1682356572.866278,222720,1.2586232423782349
1682356619.0243745,225280,1.2855180501937866
1682356665.4633324,227840,1.4799740314483643
1682356888.0814915,230400,1.477346658706665
1682356933.4239302,232960,1.5397727489471436
1682356979.8267508,235520,1.5489990711212158
1682357025.5328343,238080,1.543689250946045
1682357246.754882,240640,1.5922452211380005
1682357291.2261968,243200,1.6080859899520874
1682357336.2386165,245760,1.618212342262268
1682357382.1398108,248320,1.692480444908142
1682357604.1915476,250880,1.696366310119629
1682357650.8286457,253440,1.6248799562454224
1682357696.4402597,256000,1.6651976108551025
1682357742.4388866,258560,1.637812614440918
1682357964.7427611,261120,1.6402426958084106
1682358011.1475456,263680,1.6559089422225952
1682358057.1331863,266240,1.7137155532836914
1682358101.305194,268800,1.703604817390442
1682358323.8678284,271360,1.7272595167160034
1682358370.0349572,273920,1.7120757102966309
1682358416.2186613,276480,1.7868731021881104
1682358463.0779345,279040,1.851919174194336
1682358672.108253,281600,1.85736882686615
1682358718.6172533,284160,1.8434749841690063
1682358764.243498,286720,1.8597891330718994
1682358810.6134002,289280,1.8995721340179443
1682359030.6322198,291840,1.9108332395553589
1682359076.939193,294400,1.9095251560211182
1682359122.6832936,296960,1.8925644159317017
1682359168.8623543,299520,1.9292432069778442
1682359392.1198618,302080,1.9906015396118164
1682359437.765598,304640,2.013612985610962
1682359484.3279374,307200,2.026151418685913
1682359529.9726756,309760,2.055753231048584
1682359746.7383053,312320,2.062812089920044
1682359792.0755267,314880,2.055825710296631
1682359837.9489045,317440,2.004579544067383
1682360051.9794421,320000,1.9773918390274048
1682360098.3625126,322560,2.003213882446289
1682360143.881976,325120,1.9900100231170654
1682360190.3886669,327680,1.8866345882415771
1682360384.307407,330240,1.8966668844223022
1682360430.1456614,332800,1.8632334470748901
1682360476.5587637,335360,1.8503562211990356
1682360520.500184,337920,1.8634363412857056
1682360717.1100771,340480,1.825571060180664
1682360763.488893,343040,1.8115885257720947
1682360809.1467805,345600,1.8307372331619263
1682360854.9237757,348160,1.799159049987793
1682361078.2139604,350720,1.8195536136627197
1682361124.275401,353280,1.8582677841186523
1682361170.6371856,355840,1.8209187984466553
1682361216.057696,358400,1.8505356311798096
1682361436.8895164,360960,1.8448597192764282
1682361483.0288932,363520,1.8027719259262085
1682361528.6561308,366080,1.7680197954177856
1682361574.1032395,368640,1.7417333126068115
1682361796.5374386,371200,1.6798776388168335
1682361842.1331303,373760,1.670792579650879
1682361888.5170977,376320,1.6132819652557373
1682361934.0963268,378880,1.5721349716186523
1682362157.3617482,381440,1.5873886346817017
1682362204.1255355,384000,1.5526529550552368
1682362249.9901469,386560,1.5557374954223633
1682362296.357926,389120,1.5452044010162354
1682362501.76803,391680,1.5646684169769287
1682362548.2272005,394240,1.5837547779083252
1682362594.0099745,396800,1.557113766670227
1682362640.192843,399360,1.540822148323059
1682362862.744152,401920,1.4547874927520752
1682362909.0544062,404480,1.409919261932373
1682362954.9254103,407040,1.3909339904785156
1682362999.190055,409600,1.3523577451705933
1682363220.6712353,412160,1.4000871181488037
1682363266.0553508,414720,1.4245312213897705
1682363312.0562959,417280,1.4358707666397095
1682363357.264206,419840,1.4586008787155151
1682363551.5203776,422400,1.4896864891052246
1682363596.943785,424960,1.4942352771759033
1682363642.9172087,427520,1.5105946063995361
1682363864.1186771,430080,1.4977127313613892
1682363910.2904432,432640,1.5060399770736694
1682363956.163292,435200,1.4630765914916992
1682364001.69073,437760,1.4447218179702759
1682364211.7079196,440320,1.4442071914672852
1682364257.866721,442880,1.4530088901519775
1682364304.0101404,445440,1.4219858646392822
1682364349.430345,448000,1.3957805633544922
1682364563.3623166,450560,1.376526117324829
1682364607.7542841,453120,1.389559030532837
1682364653.0981212,455680,1.4064967632293701
1682364699.719357,458240,1.4161397218704224
1682364910.8517907,460800,1.3818795680999756
1682364957.2206676,463360,1.42557954788208
1682365002.7952428,465920,1.4349632263183594
1682365048.7432299,468480,1.426900863647461
1682365265.06219,471040,1.4916188716888428
1682365311.4072435,473600,1.3983694314956665
1682365355.583144,476160,1.425166368484497
1682365401.9947128,478720,1.4334222078323364
1682365600.9312077,481280,1.4266119003295898
1682365646.7624505,483840,1.4045573472976685
1682365693.05191,486400,1.4145358800888062
1682365739.5710387,488960,1.4302655458450317
1682365936.50437,491520,1.4303791522979736
1682365983.3166792,494080,1.4825026988983154
1682366029.7861395,496640,1.546744465827942
1682366075.9837804,499200,1.617910385131836
1682366297.242249,501760,1.678983211517334
1682366342.94305,504320,1.717101812362671
1682366389.1896915,506880,1.748883605003357
1682366435.7637167,509440,1.7349414825439453
1682366643.4576576,512000,1.7565346956253052
1682366689.9549332,514560,1.7410829067230225
1682366736.2261708,517120,1.7377681732177734
1682366782.3100176,519680,1.6979857683181763
1682367002.7770507,522240,1.6801934242248535
1682367048.7976305,524800,1.7488350868225098
1682367094.9790084,527360,1.7850840091705322
1682367141.2186306,529920,1.7561091184616089
1682367362.1122198,532480,1.801196575164795
1682367408.3402627,535040,1.84817636013031
1682367454.9915807,537600,1.8503131866455078
1682367665.7209642,540160,1.8550093173980713
1682367711.6521647,542720,1.9031445980072021
1682367756.5336041,545280,1.914918303489685
1682367803.1090412,547840,1.9260921478271484
1682368016.6946402,550400,1.932268500328064
1682368062.1180573,552960,1.964428186416626
1682368107.6008673,555520,1.9920494556427002
1682368154.1107295,558080,2.0429537296295166
1682368375.833785,560640,2.0993785858154297
1682368421.1986942,563200,2.0831663608551025
1682368468.0450494,565760,2.10739803314209
1682368513.8003323,568320,2.1054060459136963
1682368720.4128568,570880,2.1432089805603027
1682368766.6733599,573440,2.193707227706909
1682368812.9356878,576000,2.196326494216919
1682368859.7426758,578560,2.196300983428955
1682369070.0789483,581120,2.2343173027038574
1682369115.8061614,583680,2.229604482650757
1682369162.2927651,586240,2.2443366050720215
1682369207.6456676,588800,2.203498601913452
1682369418.8627882,591360,2.208909034729004
1682369465.4645586,593920,2.2044098377227783
1682369511.306831,596480,2.080765962600708
1682369557.7154796,599040,2.013303756713867
1682369780.365792,601600,1.953406810760498
1682369827.586713,604160,1.9392118453979492
1682369873.7407506,606720,1.9394915103912354
1682369920.592701,609280,1.8646953105926514
1682370144.6666384,611840,1.7876368761062622
1682370192.2367334,614400,1.79713773727417
1682370239.1614316,616960,1.732761263847351
1682370284.7024026,619520,1.7686043977737427
1682370493.3288238,622080,1.699798822402954
1682370539.0107608,624640,1.6938841342926025
1682370584.5776103,627200,1.7230182886123657
1682370630.3696601,629760,1.6795567274093628
1682370837.3437223,632320,1.7111469507217407
1682370883.9232988,634880,1.694742202758789
1682370929.2084956,637440,1.6888427734375
1682371151.1660624,640000,1.704563021659851
1682371198.0400786,642560,1.7233034372329712
1682371244.2217517,645120,1.7033507823944092
1682371289.8935153,647680,1.6423918008804321
1682371500.117361,650240,1.6386357545852661
1682371545.9210238,652800,1.6120760440826416
1682371592.5141096,655360,1.6177994012832642
1682371637.749843,657920,1.527994155883789
1682371858.5468614,660480,1.5320320129394531
1682371904.4834445,663040,1.5461163520812988
1682371950.8014963,665600,1.5812768936157227
1682371996.9729943,668160,1.5219931602478027
